质量_A,,,
t,x,y,rad
20.16,27.87935948,-26.11147794,-0.818236652
20.2,27.45852091,-26.44156978,-0.804367544
20.24,26.26888786,-27.63517505,-0.760155494
20.28,22.87753803,-30.00363188,-0.651532821
20.32,20.4216546,-31.88212153,-0.569767394
20.36,16.18542975,-34.08220087,-0.443419263
20.4,12.79456262,-35.76258487,-0.343619189
20.44,6.271971292,-37.12898429,-0.167365755
20.48,1.611651659,-37.64234711,-0.042794271
20.52,-3.894627998,-37.44883823,0.103639544
20.56,-8.978981209,-36.36701276,0.242089393
20.6,-13.80931276,-34.9324267,0.376509896
20.64,-17.19612523,-33.30884652,0.476634999
20.68,-20.0813727,-31.59874451,0.566196029
20.72,-24.99228298,-28.5642696,0.718894392
20.76,-26.51566693,-27.632756,0.76487012
20.8,-26.51521478,-27.30588703,0.770808404
20.84,-25.92676871,-27.79158376,0.750794762
20.88,-25.0742996,-28.97569232,0.713434434
20.92,-22.45140815,-30.68254003,0.631788868
20.96,-19.4854969,-32.80473616,0.536053917
21,-15.16477018,-34.75381543,0.411496755
21.04,-10.41868803,-36.27774292,0.279701843
21.08,-4.826846152,-37.46329518,0.128152703
21.12,1.273123232,-37.80329718,-0.033669213
21.16,8.728659786,-37.13595984,-0.230885511
21.2,14.58525028,-35.59127317,-0.388975144
21.24,18.38360056,-33.73722959,-0.498988134
21.28,20.25028444,-32.37564786,-0.559016089
21.32,22.70934693,-30.68972774,-0.637130789
21.36,25.67349538,-28.31847405,-0.736544413
21.4,26.43865611,-27.46939881,-0.766379467
21.44,26.43576457,-27.29508398,-0.769506254
21.48,25.75710612,-27.80438075,-0.747290758
21.52,24.57244622,-28.83035257,-0.705926104
21.56,21.10083991,-31.19869248,-0.594744926
21.6,18.21811403,-32.88743152,-0.505939197
21.64,15.16720116,-34.41850067,-0.415121893
21.68,11.60676286,-35.94326182,-0.312389073
21.72,5.932014498,-37.28878479,-0.157781551
21.76,-0.336881518,-37.63239392,0.008952824
21.8,-5.590496116,-37.2977211,0.148800103
21.84,-9.827578445,-36.28014699,0.264566473
21.88,-14.15602976,-34.91328309,0.385256554
21.92,-18.63827222,-33.23468593,0.511169358
21.96,-21.26417399,-31.87599145,0.588372312
22,-23.12701042,-30.77018873,0.64461073
22.04,-24.14701213,-30.08951754,0.676354685
22.08,-24.39867568,-30.08758649,0.681453452
22.12,-23.72351447,-30.61456635,0.659338928
22.16,-22.19636052,-31.77971522,0.609760151
22.2,-19.7396326,-33.30262433,0.535129875
22.24,-16.43435734,-34.83880536,0.440830506
22.28,-11.69051496,-36.52749782,0.309785712
22.32,-6.4370859,-37.63265685,0.169432968
22.36,-0.929998641,-38.14027027,0.024381971
22.4,4.237978496,-37.88671197,-0.111410602
22.44,9.914956744,-36.95873832,-0.262133575
22.48,14.23644946,-35.27611598,-0.383631547
22.52,17.87968019,-33.38874947,-0.49170652
22.56,21.35287366,-31.3841034,-0.597508639
22.6,23.55641934,-29.6985518,-0.670658019
22.64,23.81040389,-28.40588583,-0.697706203
22.68,24.65800731,-27.6435272,-0.728471651
22.72,24.65954313,-27.55328848,-0.730127351
22.76,23.81331399,-28.30393509,-0.699537326
22.8,22.28302311,-29.57107357,-0.645847377
22.84,19.5761646,-31.29175195,-0.559104169
22.88,16.01836667,-33.30031726,-0.448412828
22.92,11.779288,-34.99999429,-0.324685874
22.96,6.693156532,-36.36191269,-0.182056508
23,1.440899443,-37.04813938,-0.038878074
23.04,-3.638042264,-37.37367877,0.097049226
23.08,-9.062239969,-36.53388171,0.243174329
