t,x,y,rad
19.44,-10.17725097,-36.41753705,-0.27254338
19.48,-15.43949638,-34.96157997,-0.415911561
19.52,-19.16429093,-33.36165303,-0.521481448
19.56,-22.03946993,-31.94162234,-0.604056
19.6,-24.06521393,-30.7136907,-0.664705781
19.64,-25.07525982,-29.93112302,-0.697438658
19.68,-25.41142418,-29.75513957,-0.706913737
19.72,-24.90637387,-30.1924213,-0.689842698
19.76,-23.55883429,-31.24139547,-0.646197562
19.8,-21.11612189,-32.81805736,-0.571816835
19.84,-17.65247087,-34.66549034,-0.471059962
19.88,-11.71590944,-36.55838543,-0.310170524
19.92,-6.709151439,-37.66826592,-0.176285962
19.96,-2.192001067,-38.1742193,-0.057365432
20,2.84346316,-37.91852074,0.074858384
20.04,7.29171516,-37.1476156,0.193851104
20.08,11.23412834,-36.02411666,0.302331975
20.12,14.50257697,-34.28389209,0.400239438
20.16,17.86426251,-32.37995663,0.504218519
20.2,19.93783641,-30.88795516,0.573271851
20.24,21.2348957,-29.80061878,0.619189837
20.28,21.7621022,-29.29437123,0.639009353
20.32,21.75738971,-29.2160434,0.64018792
20.36,21.06965771,-29.71512735,0.616857259
20.4,19.68678275,-30.69705626,0.570326391
20.44,17.61428258,-32.04041043,0.502718032
20.48,14.34283459,-33.77407629,0.401643113
20.52,11.24401353,-35.42559214,0.307380747
20.56,6.874728765,-36.62867971,0.185552695
20.6,2.168382969,-37.47996183,0.057797534
20.64,-2.696010432,-37.73917062,-0.071326081
20.68,-7.635846352,-37.31191934,-0.201887887
20.72,-11.62655509,-36.38548973,-0.309324116
20.76,-15.87214961,-35.29786605,-0.422628557
20.8,-18.58302095,-34.30807883,-0.496475361
20.84,-20.95175573,-33.1596417,-0.563579534
20.88,-22.47188752,-32.44637609,-0.605810934
20.92,-23.14851956,-32.09848945,-0.62487525
20.96,-22.89763266,-32.27889465,-0.617065946
21,-21.80185294,-32.9781333,-0.584214781
21.04,-19.77291145,-34.0359314,-0.52635683
21.08,-17.32060632,-35.26665907,-0.456587761
21.12,-13.75551978,-36.18102579,-0.363356646
21.16,-9.683303224,-37.4469643,-0.253077011
21.2,-4.746891368,-37.96103721,-0.124416819
21.24,-0.482421317,-38.03549933,-0.012684413
21.28,4.897062117,-37.53010513,0.129767332
21.32,9.263831353,-36.58593923,0.248027283
21.36,12.61162568,-35.27664622,0.343390812
21.4,15.37157502,-33.45035795,0.430809866
21.44,18.21512088,-31.78929083,0.520394014
21.48,19.77094099,-30.62469955,0.573341771
21.52,20.63551548,-29.95339266,0.603329718
21.56,20.81686613,-29.69959666,0.61141846
21.6,20.47000835,-29.94905988,0.59963987
21.64,19.51342013,-30.62511612,0.567376853
21.68,17.79036806,-31.78543441,0.510327522
21.72,14.60519342,-33.52069431,0.410957592
21.76,11.33531203,-35.25674834,0.311110228
21.8,7.561450728,-36.38476714,0.204929095
21.84,3.110544268,-37.32917552,0.083146149
21.88,-1.419173138,-37.84479529,-0.03748712
21.92,-6.357633974,-37.42183951,-0.168306043
21.96,-9.932414293,-37.10326179,-0.261597547
22,-13.83537771,-35.92828432,-0.367628937
22.04,-17.05910125,-35.01266124,-0.453435588
22.08,-19.42982807,-33.95005802,-0.519874847
22.12,-21.12230432,-33.07276823,-0.568436761
22.16,-21.96702638,-32.63087309,-0.592587246
22.2,-21.96856216,-32.71020721,-0.591495054
22.24,-21.12074177,-33.23673945,-0.566161821
22.28,-19.43042281,-34.1214335,-0.517719816
22.32,-16.98246356,-35.26873814,-0.448809595
22.36,-13.41478405,-36.18388374,-0.355075984
22.4,-9.852498258,-37.36017451,-0.257879597
22.44,-6.278086739,-37.7584873,-0.164783633
22.48,-1.509847851,-38.18669337,-0.039523126
22.52,3.016988662,-37.74762934,0.079766051
22.56,7.295182672,-36.89304046,0.195245624
22.6,10.89715324,-35.76169703,0.29581591
22.64,13.82580064,-34.18948943,0.384332762
22.68,16.40948602,-32.69840621,0.465181713
22.72,18.47101888,-31.44491331,0.531178685
22.76,19.60402,-30.62296136,0.56951037
22.8,20.04510028,-30.29197343,0.58465275
22.84,19.86720564,-30.37827018,0.579252911
22.88,18.99702986,-30.95356361,0.550522976
22.92,17.35638328,-32.0341683,0.496596754
22.96,14.94263719,-33.43477883,0.42034329
23,12.0197239,-35.01119546,0.330746178
23.04,8.587528171,-36.22789057,0.232776299
23.08,4.476808109,-37.18193213,0.119841509
23.12,-0.222610456,-37.70214848,-0.005905147
23.16,-4.484459141,-37.62950207,-0.118629975
23.2,-9.165916392,-37.11457755,-0.242149388
23.24,-12.98561385,-36.09744423,-0.345368187
23.28,-16.80414953,-34.93938031,-0.448351191
23.32,-19.51190166,-33.77846429,-0.523886398
23.36,-21.62628319,-32.80202089,-0.582958932
23.4,-22.80828657,-32.18476172,-0.616599195
23.44,-23.14994528,-32.01134564,-0.626194987
23.48,-22.64599872,-32.36198341,-0.610651865
23.52,-21.2952385,-33.15159273,-0.571059269
23.56,-19.09471736,-34.21873208,-0.509045302
23.6,-16.1300215,-35.45489678,-0.427013782
23.64,-10.69917326,-36.92072785,-0.282098164
23.68,-7.724848968,-37.56380865,-0.202844813
23.72,-3.127548726,-38.07024484,-0.081978611
23.76,1.225392286,-37.80873279,0.032403158
23.8,5.499310724,-37.19910799,0.146790439
23.84,9.438419394,-36.33356525,0.254186831
23.88,12.61625936,-35.0217132,0.345813807
23.92,15.03234479,-33.44619933,0.422449989
23.96,17.18457808,-32.19615657,0.490342323
24,18.735469,-31.12207891,0.541958523
24.04,19.36011117,-30.70300627,0.562661025
